"","name","distance","lat","long"
"120","23rd & E St NW ",1.66862856677082,38.896104,-77.049882
"121","Lynn & 19th St North",3.14830841713462,38.897315,-77.070993
"122","Rosslyn Metro / Wilson Blvd & Ft Myer Dr",3.36894396176846,38.8946,-77.072305
"123","Clarendon Blvd & Pierce St",3.75945244315775,38.893648,-77.076701
"124","Wilson Blvd & N Uhle St",4.47337201414106,38.891696,-77.0846
"125","N Rhodes & 16th St N",4.03804815882981,38.892164,-77.079375
"126","Fairfax Village",8.67612219693425,38.86559,-76.952103
"127","21st St & Constitution Ave NW",1.84025769839646,38.892459,-77.046567
"128","Wilson Blvd & N Edgewood St",5.2198416278342,38.889,-77.0925
"129","Columbia Rd & Belmont St NW",1.60846589753062,38.920669,-77.04368
"130","17th & Rhode Island Ave NW",0.176139238137303,38.906602,-77.038785
"131","Thomas Circle",0.407244655833657,38.9059,-77.0325
"132","Wilson Blvd & Franklin Rd",4.87232568755724,38.8904,-77.0889
"133","Clarendon Blvd & N Fillmore St",5.30543549930092,38.8881,-77.09308
"134","Clarendon Metro / Wilson Blvd & N Highland St",5.45860568032875,38.88786,-77.094875
"135","18th St & Pennsylvania Ave NW",0.92754957004606,38.89968,-77.041539
"136","Maryland & Independence Ave SW",2.70423254114475,38.887299,-77.018939
"137","4th & E St SW",3.0693744262035,38.88412,-77.017445
"138","3rd & G St SE",4.19293960479052,38.881185,-77.001828
"139","7th & R St NW / Shaw Library",1.41572813617835,38.912719,-77.022155
"140","9th & Upshur St NW",3.98045879072067,38.9418,-77.0251
"141","1st & Rhode Island Ave NW",2.31716126415656,38.915417,-77.012289
"142","Columbia Rd & Georgia Ave NW",2.60497253898452,38.928156,-77.02344
"143","California St & Florida Ave NW",1.21763863676774,38.917761,-77.04062
"144","Benning Rd & East Capitol St NE / Benning Rd Metro",8.83635129193507,38.889935,-76.93723
"145","3000 Connecticut Ave NW / National Zoo",3.03388659306221,38.930282,-77.055599
"146","Anacostia Ave & Benning Rd NE / River Terrace ",6.74894001767818,38.896544,-76.96012
"147","M St & Pennsylvania Ave NW",1.74476707265895,38.905126,-77.056887
"148","15th St & Massachusetts Ave SE",5.11734654559817,38.88732,-76.983569
"149","Congress Heights Metro",8.1443219677304,38.844711,-76.987823
"150","N Quincy St & Glebe Rd",7.02268196220612,38.876393,-77.107735
"151","Wilson Blvd & N Oakland St",6.46903508695246,38.8815,-77.10396
"152","N Veitch  & 20th St N",4.44178392567189,38.896923,-77.086502
"153","11th & K St NW",1.01267732505728,38.90268,-77.02674
"154","Fairfax Dr & Wilson Blvd",5.77825301027987,38.885801,-77.097745
"155","Key Blvd & N Quinn St",3.77650874545779,38.896015,-77.078107
"156","1st & K St SE",4.15405910785614,38.87861,-77.006004
"157","39th & Calvert St NW / Stoddert",3.89241943234053,38.922649,-77.077271
"158","1st & Washington Hospital Center NW",3.19533449140703,38.928743,-77.012457
"159","Virginia Square Metro / N Monroe St & 9th St N",6.34342440870487,38.882788,-77.103148
"160","Central Library / N Quincy St & 10th St N",6.65976703472644,38.88397,-77.10783
"161","Washington Blvd & 10th St N",5.4973368930479,38.884734,-77.093485
"162","Jefferson Dr & 14th St SW",2.10924327697609,38.888553,-77.032429
"163","Smithsonian / Jefferson Dr & 12th St SW",2.17244062287946,38.888767,-77.02858
"164","George Mason Dr & Wilson Blvd",7.90708566584569,38.87887,-77.1207
"165","6th St & Indiana Ave NW",2.03109785807243,38.894573,-77.01994
"166","N Veitch & Key Blvd",4.52723033358517,38.893241,-77.086045
"167","N Adams St & Lee Hwy",4.67988668728897,38.89593,-77.089006
"168","15th & N Scott St",4.23829464060483,38.89054,-77.08095
"169","Washington Blvd & 7th St N",5.53365271214656,38.880834,-77.091129
"170","Ballston Metro / N Stuart & 9th St N",7.1021858251913,38.881044,-77.111768
"171","N Randolph St & Fairfax Dr",6.84071790639319,38.882629,-77.109366
"172","Jefferson Memorial",3.04495197496941,38.879819,-77.037413
"173","Good Hope Rd & 14th St SE",6.35326293045992,38.866611,-76.985238
"174","Glebe Rd & 11th St N",7.3847123787963,38.883921,-77.116817
"175","N Quincy St & Wilson Blvd",6.8236376565436,38.880151,-77.107673
"176","Fairfax Dr & Kenmore St",6.09556313825602,38.884616,-77.10108
"177","Gallaudet / 8th St & Florida Ave NE",3.71087417606833,38.90509,-76.9941
"178","20th & L St NW",0.792250630456585,38.903584,-77.044789
"179","12th & L St NW",0.826017995738754,38.903819,-77.0284
"180","21st St & Pennsylvania Ave NW",1.04667758209879,38.901539,-77.046564
"181","19th & K St NW",0.788702339986181,38.902204,-77.04337
"182","Prince St & Union St",11.576607503531,38.803124,-77.040363
"183","Market Square / King St & Royal St",11.4092120171551,38.804718,-77.043363
"184","Saint Asaph St & Pendleton  St",10.7465764262555,38.810743,-77.044664
"185","King St & Patrick St",11.3845147544071,38.805317,-77.049883
"186","15th & K St NW",0.647585697526548,38.902,-77.03353
"187","Commerce St & Fayette St",11.377056666956,38.805648,-77.05293
"188","Henry St & Pendleton St",10.709059274296,38.811456,-77.050276
"189","Braddock Rd Metro",10.3909029158674,38.814577,-77.052808
"190","King St Metro",11.4658753077058,38.805767,-77.06072
"191","24th & N St NW",1.26680152124431,38.9066,-77.05152
"192","10th & E St NW",1.5665738847988,38.895914,-77.026064
"193","22nd & I St NW / Foggy Bottom",1.25462083979022,38.90088,-77.048911
"194","Utah St & 11th St N ",7.15944072354828,38.883669,-77.113905
"195","Barton St & 10th St N",5.04934324839491,38.884961,-77.08777
"196","Arlington Blvd & N Queen St",4.01901495715403,38.889365,-77.077294
"197","Lincoln Memorial",2.36952064469921,38.888251,-77.049426
"198","20th St & Virginia Ave NW",1.55951710471115,38.894722,-77.045128
"199","5th St & Massachusetts Ave NW",1.72411978941303,38.90093,-77.018677
"200","39th & Veazey St NW",5.35501480959974,38.943837,-77.077078
"201","Fessenden St & Wisconsin Ave NW",6.59819103183645,38.954812,-77.082426
"202","M St & Delaware Ave NE",2.93447921618697,38.905707,-77.003041
"203","Columbia Pike & S Courthouse Rd",6.11366130340282,38.863833,-77.080319
"204","Walter Reed Community Center / Walter Reed Dr & 16th St S",6.9839468901323,38.857803,-77.086733
"205","28th St S & S Meade St",7.33680274552187,38.846222,-77.069275
"206","18th St & Wyoming Ave NW",1.35264653668958,38.918809,-77.041571
"207","5th & Kennedy St NW",5.68781159385347,38.956595,-77.019815
"208","Georgia Ave & Emerson St NW",4.79353551843432,38.949662,-77.027333
"209","14th & Upshur St NW",3.88876458152377,38.942016,-77.032652
"210","14th St & Colorado Ave NW",5.48501653757494,38.956432,-77.032947
"211","S Troy St & 26th St S",7.3690559542146,38.847977,-77.075104
"212","S Four Mile Run Dr & S Shirlington Rd",8.1717815882375,38.8444,-77.085931
"213","S Oakland St & Columbia Pike",7.25787153892263,38.860789,-77.09586
"214","S Abingdon St & 36th St S",9.42137351917952,38.835213,-77.094295
"215","S Arlington Mill Dr & Campbell Ave",8.53368446302204,38.84232,-77.089555
"216","S Kenmore & 24th St S",7.74259875150825,38.848454,-77.084918
"217","13th St & Eastern Ave",8.89692088378054,38.987,-77.029417
"218","Wisconsin Ave & O St NW",2.31351401575602,38.90849,-77.063586
"219","S George Mason Dr & 13th St S",8.02811253267826,38.854691,-77.100555
"220","Connecticut & Nebraska Ave NW",6.03696967789039,38.955016,-77.069956
"221","17th St & Massachusetts Ave NW",0.164039746780283,38.908142,-77.038359
"222","15th & Euclid St  NW",1.7995946865502,38.92333,-77.0352
"223","8th & East Capitol St NE",4.08530300708938,38.889988,-76.995193
"224","New Jersey Ave & R St NW",1.77121679696993,38.912659,-77.017669
"225","15th & East Capitol St NE",5.01911793098709,38.889908,-76.983326
"226","8th & F St NE",3.81082737060802,38.897274,-76.994749
"227","18th St & Rhode Island Ave NE",5.48202276584924,38.927095,-76.978924
"228","15th & F St NE",4.74664050028067,38.897195,-76.983575
"229","12th & Irving St NE",4.63526618251665,38.928644,-76.990955
"230","34th St & Minnesota Ave SE",7.33957072821541,38.884085,-76.957461
"231","Alabama & MLK Ave SE",7.82012435512339,38.843222,-76.999388
"232","Pleasant St & MLK Ave SE",6.29584345384184,38.863897,-76.990037
"233","Neal St & Trinidad Ave NE",4.31684889693224,38.903732,-76.987211
"234","12th & U St NW",1.30805391346807,38.916787,-77.028139
"235","S George Mason Dr & Four Mile Run",8.49165860985185,38.852248,-77.105022
"236","S Stafford & 34th St S",9.22555857966009,38.834108,-77.087323
"237","N Pershing Dr & Wayne St",5.16786374705775,38.880705,-77.08596
"238","Columbia Pike & S Orme St",5.39605066396717,38.867262,-77.072315
"239","3rd St & Pennsylvania Ave SE",3.74212578062389,38.887378,-77.001955
"240","8th & D St NW",1.81185803293036,38.894851,-77.02324
"241","3rd & Elm St NW",2.14996121554526,38.917622,-77.01597
"242","Rhode Island Ave & V St NE",3.03700699653029,38.918155,-77.004746
"243","Constitution Ave & 2nd St NW/DOL",2.5903405038431,38.892275,-77.013917
"244","Washington & Independence Ave SW/HHS",2.97139154494814,38.88731,-77.01397
"245","Independence Ave & L'Enfant Plaza SW/DOE",2.41237598146265,38.887312,-77.025762
"246","Hamlin & 7th St NE",4.11025628825107,38.927497,-76.997194
"247","Columbia Pike & S Walter Reed Dr",6.57525626698658,38.862478,-77.086599
"248","Columbia Pike & S Dinwiddie St / Arlington Mill Community Center",8.58719185358768,38.856319,-77.11153
"249","Pershing & N George Mason Dr",7.29676389557052,38.871822,-77.107906
"250","Fenton St & New York Ave ",8.77761098702742,38.985404,-77.023082
"251","Bethesda Ave & Arlington Rd",9.7431595989787,38.981103,-77.097426
"252","Montgomery Ave & Waverly St ",9.77241235684421,38.983838,-77.09221
"253","Fallsgrove Blvd & Fallsgrove Dr",24.9675365717254,39.096312,-77.192672
"254","Traville Gateway Dr & Gudelsky Dr",25.2036581205021,39.093783,-77.202501
"255","Norfolk Ave & Fairmont St",10.4138631331461,38.988562,-77.096539
"256","E Montgomery Ave & Maryland Ave",22.0172550122331,39.084125,-77.151291
"257","Cordell & Norfolk Ave",10.572294218375,38.98954,-77.098029
"258","Frederick Ave & Horners Ln",22.8608955354569,39.094772,-77.145213
"259","Philadelphia & Maple Ave",8.52884969009069,38.98128,-77.011336
"260","Maple & Ritchie Ave",8.90050720530604,38.983627,-77.006311
"261","Silver Spring Metro/Colesville Rd & Wayne Ave",9.80900895857741,38.99521,-77.02918
"262","Montgomery & East Ln",9.8789976185638,38.983525,-77.095367
"263","Friendship Hts Metro/Wisconsin Ave & Wisconsin Cir",7.40571606377432,38.961763,-77.085998
"264","14th & Belmont St NW",1.60252766253846,38.921074,-77.031887
"265","3rd & Tingey St SE",4.66126467797472,38.87501,-77.0024
"266","10th & Florida Ave NW",1.75892639315827,38.920387,-77.025672
"267","Potomac Ave & 8th St SE",4.99600764057518,38.876737,-76.994468
"268","Crabbs Branch Way & Redland Rd",25.8414948448609,39.120045,-77.156985
"269","Fallsgrove Dr & W Montgomery Ave",25.0427884774117,39.099376,-77.188014
"270","Monroe St & Monroe Pl",21.904170019884,39.083705,-77.149443
"271","Needwood Rd & Eagles Head Ct",26.2095947232493,39.123513,-77.15741
"272","East West Hwy & Blair Mill Rd",9.25767935669305,38.990249,-77.02935
"273","Crabbs Branch Way & Calhoun Pl",24.4156744836873,39.107709,-77.152072
"274","47th & Elm St",9.62933927680893,38.982456,-77.091991
"275","Garland Ave & Walden Rd",10.8252234360151,39.000578,-77.00149
"276","Montgomery College/W Campus Dr & Mannakee St",23.4640426226045,39.095661,-77.159048
"277","Fenton St & Gist Ave",9.24534320971386,38.989724,-77.023854
"278","Carroll & Westmoreland Ave",7.85960144360654,38.975,-77.01121
"279","Carroll & Ethan Allen Ave",8.29371433055308,38.977933,-77.006472
"280","Battery Ln & Trolley Trail",10.9349641087372,38.992375,-77.100104
"281","Norfolk & Rugby Ave",10.7741691113032,38.990639,-77.100239
"282","Offutt Ln & Chevy Chase Dr",9.23540271479044,38.977093,-77.094589
"283","Broschart & Blackwell Rd",25.8664227339161,39.102099,-77.200322
"284","Taft St & E Gude Dr",22.3789104518384,39.094103,-77.132954
"285","Fleet St & Ritchie Pkwy",20.8618357457307,39.076331,-77.141378
"286","Piccard & W Gude Dr",24.8385476322153,39.102212,-77.177091
"287","Ripley & Bonifant St",9.52659888314646,38.992679,-77.029457
"288","Georgia Ave & Spring St",10.2612522734134,38.999388,-77.031555
"289","Fenton St & Ellsworth Dr ",10.0365861561699,38.997033,-77.025608
"290","King Farm Blvd & Pleasant Dr",25.8364228290306,39.114688,-77.171487
"291","King Farm Blvd & Piccard Dr",25.8597649214016,39.110314,-77.182669
"292","Calvert St & Woodley Pl NW",2.14760632655339,38.923583,-77.050046
"293","New Jersey Ave & N St NW/Dunbar HS",1.87503984753302,38.90706,-77.015231
"294","Nannie Helen Burroughs Ave & 49th St NE",9.14018666304977,38.898536,-76.931862
"295","Deanwood Rec Center",8.98271839807251,38.908473,-76.933099
"296","Hains Point/Buckeye & Ohio Dr SW",3.2504142798752,38.878433,-77.03023
"297","Arlington Blvd & Fillmore St",5.86047510742089,38.873755,-77.089233
"298","Long Bridge Park/Long Bridge Dr & 6th St S",4.63555775475499,38.86646,-77.04826
"299","Old Georgetown Rd & Southwick St",12.0504012367375,38.999634,-77.109647
"300","Friendship Blvd & Willard Ave",7.48533163081722,38.96115,-77.088659
"301","North Capitol St & G Pl NE",2.56140882373388,38.899703,-77.008911
"302","31st & Woodrow St S",9.21535992949836,38.837666,-77.09482
"303","Washington Blvd & Walter Reed Dr ",5.43908142115264,38.873219,-77.082104
"304","TJ Cmty Ctr / 2nd St & S Old Glebe Rd",6.59228082453096,38.869418,-77.095596
"305","Connecticut Ave & Tilden St NW",4.35691489352418,38.941154,-77.062036
"306","Medical Center Dr & Key West Ave",25.7780155566833,39.103091,-77.196442
"307","Shady Grove Hospital",25.276996524228,39.097636,-77.196636
"308","Veterans Pl & Pershing Dr ",10.0976139201751,38.997445,-77.023894
"309","Rockville Metro East",21.9357654137701,39.085394,-77.145803
"310","1st & H St NW",2.27621107182404,38.900358,-77.012108
"311","Fort Totten Metro",5.8281228137829,38.952369,-77.002721
"312","Takoma Metro",7.75950843918915,38.975219,-77.016855
"313","Rhode Island Ave Metro",3.85298814111873,38.920682,-76.995876
"314","Rolfe St & 9th St S",5.66041657521118,38.866471,-77.076131
"315","Shirlington Transit Center / S Quincy & Randolph St",8.65184439160521,38.839912,-77.087083
"316","Shady Grove Metro West",26.1392114128928,39.119765,-77.166093
